#frame_num,ros_time
0,1645481333.788637
1,1645481333.814722
2,1645481333.848697
3,1645481333.882542
4,1645481333.91535
5,1645481333.949113
6,1645481333.981891
7,1645481334.015877
8,1645481334.048631
9,1645481334.082446
10,1645481334.115335
11,1645481334.149211
12,1645481334.181934
13,1645481334.21585
14,1645481334.248452
15,1645481334.282356
16,1645481334.315238
17,1645481334.349089
18,1645481334.38187
19,1645481334.415768
20,1645481334.448455
21,1645481334.482436
22,1645481334.515272
23,1645481334.549143
24,1645481334.581888
25,1645481334.615857
26,1645481334.648694
27,1645481334.682383
28,1645481334.715545
29,1645481334.749177
30,1645481334.781919
31,1645481334.815993
32,1645481334.848665
33,1645481334.882404
34,1645481334.915363
35,1645481334.949229
36,1645481334.981898
37,1645481335.016051
38,1645481335.048645
39,1645481335.082354
40,1645481335.115217
41,1645481335.149254
42,1645481335.181819
43,1645481335.215739
44,1645481335.248504
45,1645481335.282361
46,1645481335.315106
47,1645481335.349114
48,1645481335.381828
49,1645481335.415753
50,1645481335.448618
51,1645481335.48248
52,1645481335.515137
53,1645481335.54903
54,1645481335.581866
55,1645481335.615787
56,1645481335.648574
57,1645481335.68255
58,1645481335.715207
59,1645481335.749061
60,1645481335.781873
61,1645481335.815761
62,1645481335.848557
63,1645481335.882461
64,1645481335.915179
65,1645481335.949061
66,1645481335.981818
67,1645481336.015944
68,1645481336.048458
69,1645481336.082558
70,1645481336.115294
71,1645481336.149118
72,1645481336.181888
73,1645481336.215844
74,1645481336.248577
75,1645481336.282487
76,1645481336.315266
77,1645481336.349068
78,1645481336.381755
79,1645481336.41582
80,1645481336.448559
81,1645481336.482322
82,1645481336.515188
83,1645481336.549113
84,1645481336.581818
85,1645481336.615771
86,1645481336.648598
87,1645481336.682414
88,1645481336.715223
89,1645481336.749064
90,1645481336.781775
91,1645481336.816134
92,1645481336.848517
93,1645481336.882425
94,1645481336.915141
95,1645481336.949054
96,1645481336.981795
97,1645481337.015774
98,1645481337.048489
99,1645481337.082431
100,1645481337.115262
101,1645481337.149087
102,1645481337.181876
103,1645481337.215873
104,1645481337.2486
105,1645481337.282341
106,1645481337.315214
107,1645481337.349083
108,1645481337.381852
109,1645481337.415964
110,1645481337.448584
111,1645481337.482394
112,1645481337.515307
113,1645481337.549157
114,1645481337.581861
115,1645481337.615802
116,1645481337.648604
117,1645481337.682483
118,1645481337.715264
119,1645481337.749217
120,1645481337.782035
121,1645481337.815784
122,1645481337.84864
123,1645481337.88257
124,1645481337.915311
125,1645481337.949255
126,1645481337.982008
127,1645481338.01587
128,1645481338.048727
129,1645481338.082549
130,1645481338.115343
131,1645481338.149236
132,1645481338.182015
133,1645481338.216128
134,1645481338.24867
135,1645481338.282507
136,1645481338.315376
137,1645481338.349235
138,1645481338.381914
139,1645481338.415979
140,1645481338.448689
141,1645481338.482539
142,1645481338.515431
143,1645481338.549244
144,1645481338.581971
145,1645481338.615901
146,1645481338.64879
147,1645481338.68267
148,1645481338.71549
149,1645481338.749407
150,1645481338.78201
151,1645481338.816249
152,1645481338.848773
153,1645481338.882525
154,1645481338.915453
155,1645481338.949258
156,1645481338.982062
157,1645481339.015923
158,1645481339.04871
159,1645481339.082566
160,1645481339.115403
161,1645481339.149379
162,1645481339.182059
163,1645481339.216034
164,1645481339.248875
165,1645481339.282732
166,1645481339.315601
167,1645481339.349489
168,1645481339.382389
169,1645481339.416191
170,1645481339.449057
171,1645481339.483008
172,1645481339.515726
173,1645481339.54958
174,1645481339.582349
175,1645481339.616232
176,1645481339.649188
177,1645481339.683
178,1645481339.715694
179,1645481339.749618
180,1645481339.782431
181,1645481339.816296
182,1645481339.849126
183,1645481339.882979
184,1645481339.915805
185,1645481339.949687
186,1645481339.982462
187,1645481340.016293
188,1645481340.049266
189,1645481340.08298
190,1645481340.115801
191,1645481340.149794
192,1645481340.182703
193,1645481340.216419
194,1645481340.249181
195,1645481340.283169
196,1645481340.315981
197,1645481340.349888
198,1645481340.382505
199,1645481340.416354
200,1645481340.449254
201,1645481340.482974
202,1645481340.515749
203,1645481340.549701
204,1645481340.582385
205,1645481340.616084
206,1645481340.648919
207,1645481340.683043
208,1645481340.715619
209,1645481340.749518
210,1645481340.782264
211,1645481340.816191
212,1645481340.849041
213,1645481340.882873
214,1645481340.915612
215,1645481340.949436
216,1645481340.982173
217,1645481341.016111
218,1645481341.048809
219,1645481341.082681
220,1645481341.117308
221,1645481341.149456
222,1645481341.182287
223,1645481341.216088
224,1645481341.248957
225,1645481341.282749
226,1645481341.315506
227,1645481341.349547
228,1645481341.382207
229,1645481341.416106
230,1645481341.448853
231,1645481341.482707
232,1645481341.515557
233,1645481341.549556
234,1645481341.58221
235,1645481341.615962
236,1645481341.648628
237,1645481341.682566
238,1645481341.715269
239,1645481341.749014
240,1645481341.781844
241,1645481341.815704
242,1645481341.848521
243,1645481341.882263
244,1645481341.915004
245,1645481341.94886
246,1645481341.981551
247,1645481342.015475
248,1645481342.04823
249,1645481342.08211
250,1645481342.11476
251,1645481342.148619
252,1645481342.181435
253,1645481342.215381
254,1645481342.248099
255,1645481342.281863
256,1645481342.314828
257,1645481342.34868
258,1645481342.381418
259,1645481342.415298
260,1645481342.44811
261,1645481342.481874
262,1645481342.514948
263,1645481342.548649
264,1645481342.581386
265,1645481342.615176
266,1645481342.648055
267,1645481342.681847
268,1645481342.714718
269,1645481342.748514
270,1645481342.781366
271,1645481342.815355
272,1645481342.848006
273,1645481342.881776
274,1645481342.914559
275,1645481342.948575
276,1645481342.981343
277,1645481343.015204
278,1645481343.047937
279,1645481343.081731
280,1645481343.114681
281,1645481343.148528
282,1645481343.181188
283,1645481343.215128
284,1645481343.248027
285,1645481343.281778
286,1645481343.314594
287,1645481343.348526
288,1645481343.381197
289,1645481343.415137
290,1645481343.447988
291,1645481343.481838
292,1645481343.514692
293,1645481343.548652
294,1645481343.581301
295,1645481343.615206
296,1645481343.64807
297,1645481343.681821
298,1645481343.714694
299,1645481343.748544
300,1645481343.781331
301,1645481343.815102
302,1645481343.847924
303,1645481343.881787
304,1645481343.914606
305,1645481343.948585
306,1645481343.981316
307,1645481344.015059
308,1645481344.047961
309,1645481344.081763
310,1645481344.114601
311,1645481344.148494
312,1645481344.181341
313,1645481344.215233
314,1645481344.248066
315,1645481344.281695
316,1645481344.314621
317,1645481344.348438
318,1645481344.381351
319,1645481344.415105
320,1645481344.447989
321,1645481344.481849
322,1645481344.514654
323,1645481344.548418
324,1645481344.581285
325,1645481344.615241
326,1645481344.64801
327,1645481344.68176
328,1645481344.714632
329,1645481344.748737
330,1645481344.781261
331,1645481344.815117
332,1645481344.847992
333,1645481344.881773
334,1645481344.914542
335,1645481344.948393
336,1645481344.981032
337,1645481345.01513
338,1645481345.047771
339,1645481345.081578
340,1645481345.114397
341,1645481345.148229
342,1645481345.181041
343,1645481345.214886
344,1645481345.247625
345,1645481345.281476
346,1645481345.314349
347,1645481345.348065
348,1645481345.380879
349,1645481345.414875
350,1645481345.447603
351,1645481345.481384
352,1645481345.514224
353,1645481345.548146
354,1645481345.580854
355,1645481345.614824
356,1645481345.647596
357,1645481345.68145
358,1645481345.714175
359,1645481345.748161
360,1645481345.780881
361,1645481345.814742
362,1645481345.84755
363,1645481345.881514
364,1645481345.914299
365,1645481345.948198
366,1645481345.980988
367,1645481346.014738
368,1645481346.0476
369,1645481346.081471
370,1645481346.114191
371,1645481346.14807
372,1645481346.180958
373,1645481346.214779
374,1645481346.24773
375,1645481346.281538
376,1645481346.314372
377,1645481346.348291
378,1645481346.381017
379,1645481346.415307
380,1645481346.447761
381,1645481346.48158
382,1645481346.514415
383,1645481346.548343
384,1645481346.5812
385,1645481346.615185
386,1645481346.64788
387,1645481346.681739
388,1645481346.714589
389,1645481346.748463
390,1645481346.781395
391,1645481346.815275
392,1645481346.848043
393,1645481346.881982
394,1645481346.914921
395,1645481346.948737
396,1645481346.981463
397,1645481347.01542
398,1645481347.0483
399,1645481347.082066
400,1645481347.114878
401,1645481347.148952
402,1645481347.18148
403,1645481347.215431
404,1645481347.24816
405,1645481347.28207
406,1645481347.3149
407,1645481347.348709
408,1645481347.381513
409,1645481347.415406
410,1645481347.448165
411,1645481347.482024
412,1645481347.514833
413,1645481347.548645
414,1645481347.581547
415,1645481347.615424
416,1645481347.64814
417,1645481347.681971
418,1645481347.7148
419,1645481347.748714
420,1645481347.781425
421,1645481347.815257
422,1645481347.848178
423,1645481347.881919
424,1645481347.914667
425,1645481347.948542
426,1645481347.981284
427,1645481348.015205
428,1645481348.047791
429,1645481348.081729
430,1645481348.114435
431,1645481348.148348
432,1645481348.181046
433,1645481348.214926
434,1645481348.247686
435,1645481348.281596
436,1645481348.314261
437,1645481348.348182
438,1645481348.380913
439,1645481348.414718
440,1645481348.447492
441,1645481348.481452
442,1645481348.514428
443,1645481348.548107
444,1645481348.580897
445,1645481348.614859
446,1645481348.647561
447,1645481348.681518
448,1645481348.714209
449,1645481348.748131
450,1645481348.781113
451,1645481348.814683
452,1645481348.84767
453,1645481348.88144
454,1645481348.914297
455,1645481348.948102
456,1645481348.980876
457,1645481349.014759
458,1645481349.047572
459,1645481349.081305
460,1645481349.114147
461,1645481349.148004
462,1645481349.180823
463,1645481349.214643
464,1645481349.247506
465,1645481349.28134
466,1645481349.314054
467,1645481349.348146
468,1645481349.380794
469,1645481349.414557
470,1645481349.447448
471,1645481349.481179
472,1645481349.514053
473,1645481349.547873
474,1645481349.580821
475,1645481349.614623
476,1645481349.647328
477,1645481349.681232
478,1645481349.71402
479,1645481349.747999
480,1645481349.780654
481,1645481349.814523
482,1645481349.847425
483,1645481349.881157
484,1645481349.914041
485,1645481349.947809
486,1645481349.980659
487,1645481350.014444
488,1645481350.047294
489,1645481350.08108
490,1645481350.113863
491,1645481350.147882
492,1645481350.180575
493,1645481350.214451
494,1645481350.247294
495,1645481350.28104
496,1645481350.31393
497,1645481350.347818
498,1645481350.380491
499,1645481350.414419
500,1645481350.447342
501,1645481350.48113
502,1645481350.514023
503,1645481350.547848
504,1645481350.5806
505,1645481350.614361
506,1645481350.647366
507,1645481350.681111
508,1645481350.7139
509,1645481350.747925
510,1645481350.780607
511,1645481350.814419
512,1645481350.847325
513,1645481350.881114
514,1645481350.913918
515,1645481350.947773
516,1645481350.980562
517,1645481351.014388
518,1645481351.047266
519,1645481351.081185
520,1645481351.113895
521,1645481351.147765
522,1645481351.180619
523,1645481351.214494
524,1645481351.24726
525,1645481351.281183
526,1645481351.313887
527,1645481351.347836
528,1645481351.380468
529,1645481351.414462
530,1645481351.447203
531,1645481351.481041
532,1645481351.513758
533,1645481351.54783
534,1645481351.580401
535,1645481351.61431
536,1645481351.647137
537,1645481351.680906
538,1645481351.713805
539,1645481351.747717
540,1645481351.780507
541,1645481351.814294
542,1645481351.847152
543,1645481351.880981
544,1645481351.913786
545,1645481351.947664
546,1645481351.980552
547,1645481352.014261
548,1645481352.047085
549,1645481352.081023
550,1645481352.113744
551,1645481352.147611
552,1645481352.180434
553,1645481352.214358
554,1645481352.247182
555,1645481352.280939
556,1645481352.313691
557,1645481352.347629
558,1645481352.380439
559,1645481352.414335
560,1645481352.447052
561,1645481352.480818
562,1645481352.513654
563,1645481352.547642
564,1645481352.580343
565,1645481352.614181
566,1645481352.647037
567,1645481352.680908
568,1645481352.713531
569,1645481352.747524
570,1645481352.780291
571,1645481352.814138
572,1645481352.846859
